Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 6 High template"
MmugDNA.443.1.S1_at,"gDNA.Hs.288232.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212812_at CDNA: FLJ22642 fis, clone HSI06970  REP_ORG=M. mulatta",gDNA.Hs.288232.0,MmugDNA.443.1.S1_at,,0.512965459
MmugDNA.37086.1.S1_at,gDNA.Hs.24192.0.S1  FEA=U133PSR  GEN=SYNPO2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225721_at Synaptopodin 2  REP_ORG=M. mulatta,gDNA.Hs.24192.0,MmugDNA.37086.1.S1_at,SYNPO2,0.512627945
LOC718575,similar to myelin associated glycoprotein isoform a precursor,XM_001111459,MmunewRS.338.1.S1_at,MAG,0.512533948
LOC697887,similar to proteolipid protein,XM_001088649,MmuSTS.2072.1.S1_s_at,,0.512489094
GJB1,"gap junction protein, beta 1, 32kDa",XM_001101351,MmunewRS.273.1.S1_at,GJB1,0.512338827
LOC721388,similar to GTPase activating Rap/RanGAP domain-like 4,XR_014612,MmuSTS.3645.1.S1_at,GARNL4,0.511899046
LOC697887,similar to proteolipid protein,XM_001088649,Mmu.8090.1.S1_at,,0.511852374
LOC704829,similar to tripartite motif-containing 59,XM_001093190,MmugDNA.14076.1.S1_at,TRIM59,0.51168793
MmugDNA.12566.1.S1_at,"gDNA.g13375976  FEA=U133PSR  GEN=LMAN1L  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 219775_s_at lectin, mannose-binding, 1 like  REP_ORG=M. mulatta",gDNA,MmugDNA.12566.1.S1_at,LMAN1L,0.511625409
MmugDNA.22244.1.S1_at,gDNA.g4506134  FEA=U133PSR  GEN=PRRG1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 205618_at proline rich Gla (G-carboxyglutamic acid) 1  REP_ORG=M. mulatta,gDNA,MmugDNA.22244.1.S1_at,PRRG1,0.511166052
MmugDNA.22228.1.S1_at,gDNA.Hs.159115.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231929_at MRNA; cDNA DKFZp586O0724 (from clone DKFZp586O0724)  REP_ORG=M. mulatta,CN641793,MmugDNA.22228.1.S1_at,,0.511018327
LOC718702,"similar to pleckstrin homology domain containing, family B (evectins) member 1",XM_001115425,MmugDNA.16253.1.S1_s_at,PLEKHB1,0.51093278
BCHE,butyrylcholinesterase,XR_011736,MmuSTS.634.1.S1_at,BCHE,0.510711751
LOC717439,similar to SH3 domain-binding protein 5 (SH3 domain-binding protein that preferentially associates with BTK),XR_013631,MmugDNA.5412.1.S1_s_at,SH3BP5,0.510659636
RNF112,ring finger protein 112,XM_001100292,MmuSTS.4771.1.S1_at,RNF112,0.510441837
RASSF2,Ras association domain family 2,XR_014043,MmugDNA.33966.1.S1_s_at,RASSF2,0.510133413
TGFBI,"transforming growth factor, beta-induced, 68kDa",XM_001111369,MmugDNA.5064.1.S1_at,TGFBI,0.510092789
LOC698212,similar to Down syndrome cell adhesion molecule like 1,XR_011717,MmuSTS.1319.1.S1_at,DSCAML1,0.509860394
TRIM49,tripartite motif-containing 49,XM_001082235,MmuSTS.4718.1.S1_at,RNF18,0.509423046
LOC697494,Similar to receptor expression enhancing protein 3,CK232309,Mmu.6311.1.S1_at,,0.50940279
SLITRK6,"SLIT and NTRK-like family, member 6",XM_001093456,MmugDNA.36979.1.S1_at,SLITRK6,0.509375119
MmugDNA.13960.1.S1_at,"gDNA.Hs.276860.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235199_at Transcribed locus, weakly similar to XP_513408.1 similar to origin recognition complex, subunit 1; origin recognition complex, subunit 1, S. cerevisiae, homolog-like; origin recognition complex 1; replication control protein 1; origin recognition complex, subunit 1 (yeast homolog)-like ... [Pan troglodytes]  REP_ORG=M. mulatta",CO048828,MmugDNA.13960.1.S1_at,,0.509097249
GFAP,glial fibrillary acidic protein,XM_001102095,MmuSTS.4827.1.S1_at,GFAP,0.507370644
LPAR4,lysophosphatidic acid receptor 4,XM_001101534,MmuSTS.2453.1.S1_at,LPAR4,0.507120567
LOC709208,"similar to endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2",XM_001106182,MmugDNA.27283.1.S1_at,EDG2,0.507114711
LOC705707,"similar to furry CG32045-PB, isoform B",XR_012892,MmugDNA.29936.1.S1_at,KIAA0826,0.506656575
FMNL2,formin-like 2,XM_001084144,MmuSTS.3717.1.S1_at,FMNL2,0.506518512
FLNB,"filamin B, beta",XM_001097727,MmuSTS.2657.1.S1_at,FLNB,0.506375
LOC717078,"similar to protein phosphatase 2, regulatory subunit B, alpha isoform 1",XM_001115140,MmugDNA.39487.1.S1_at,PPP2R3A,0.506310271
LOC702083,similar to Y43E12A.2,XR_010885,MmugDNA.23013.1.S1_at,C10orf56,0.5062045
MmugDNA.18315.1.S1_at,gDNA.Hs.99283.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239710_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.99283.0,MmugDNA.18315.1.S1_at,,0.505762025
LOC698172,similar to A-kinase anchor protein 13 isoform 1,XM_001086697,MmugDNA.35137.1.S1_at,,0.505543441
LOC702360,"similar to dynein, cytoplasmic, light peptide",XM_001089607,MmugDNA.2252.1.S1_at,DNCL1,0.505134059
MmugDNA.22302.1.S1_at,gDNA.Hs.133315.0.S1  FEA=U133PSR  GEN=SOX2OT  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231898_x_at SOX2 overlapping transcript (non-coding RNA)  REP_ORG=M. mulatta,gDNA.Hs.133315.0,MmugDNA.22302.1.S1_at,SOX2OT,0.503988991
LOC711948,similar to transcription factor RAM2,XM_001100802,MmugDNA.5051.1.S1_at,RAM2,0.503915269
LOC700866,hypothetical protein LOC700866,XM_001095892,MmugDNA.19859.1.S1_at,FLJ11155,0.503866693
MmugDNA.7534.1.S1_at,gDNA.Hs.16064.0.A1  FEA=U133PSR  GEN=MAGI1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227481_at membrane associated guanylate kinase interacting protein-like 1  REP_ORG=M. mulatta,gDNA.Hs.16064.0,MmugDNA.7534.1.S1_at,MAGI1,0.503410099
MmugDNA.8988.1.S1_at,gDNA.Hs.94694.0.S1  FEA=U133PSR  GEN=LOC143381  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227550_at hypothetical protein LOC143381  REP_ORG=M. mulatta,gDNA.Hs.94694.0,MmugDNA.8988.1.S1_at,LOC143381,0.503259294
LOC701293,hypothetical protein LOC701293,XR_010752,MmugDNA.2014.1.S1_at,CSF1,0.503219642
HHIP,hedgehog interacting protein,XM_001093950,MmugDNA.6750.1.S1_at,HHIP,0.50293916
LOC718302,similar to platelet/endothelial cell adhesion molecule (CD31 antigen),XM_001116542,MmugDNA.28182.1.S1_at,PECAM1,0.502735241
MmugDNA.37466.1.S1_at,gDNA.Hs.119062.0.S1  FEA=U133PSR  GEN=MGC35308  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238008_at hypothetical protein MGC35308  REP_ORG=M. mulatta,gDNA.Hs.119062.0,MmugDNA.37466.1.S1_at,MGC35308,0.502666011
PRKCSH,protein kinase C substrate 80K-H,XM_001085464,MmuSTS.3656.1.S1_at,PRKCSH,0.501827597
ANLN,"anillin, actin binding protein",XM_001103356,MmugDNA.682.1.S1_at,ANLN,0.501588016
MmugDNA.41299.1.S1_at,gDNA.Hs.45177.0.A1  FEA=U133PSR  GEN=SSTR2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239031_at somatostatin receptor 2  REP_ORG=M. mulatta,EG703788,MmugDNA.41299.1.S1_at,SSTR2,0.501408286
LOC712365,similar to chondroitin sulfate proteoglycan 2 (versican),XM_001112120,MmugDNA.13155.1.S1_at,CSPG2,0.500839493
CA12,carbonic anhydrase XII,XM_001105156,MmugDNA.30480.1.S1_at,CA12,0.500275151
