Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
MmugDNA.12908.1.S1_at,gDNA.g4240158  FEA=U133PSR  GEN=MYT1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210341_at myelin transcription factor 1  REP_ORG=M. mulatta,gDNA,MmugDNA.12908.1.S1_at,MYT1,0.602818775
MAN1C1,"mannosidase, alpha, class 1C, member 1",XR_014258,MmugDNA.7330.1.S1_at,MAN1C1,0.602764221
LOC695437,similar to C03A3.3,XM_001088859,MmugDNA.28792.1.S1_at,LOC153364,0.602672512
LOC717509,hypothetical protein LOC717509,XM_001109069,MmugDNA.14125.1.S1_at,LOC400745,0.60264178
MmugDNA.2046.1.S1_s_at,gDNA.Hs.159441.0.A1  FEA=U133PSR  GEN=SESN3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225123_at Sestrin 3  REP_ORG=M. mulatta,CB229488,MmugDNA.2046.1.S1_s_at,SESN3,0.602445923
CA4,carbonic anhydrase IV,XM_001107970,MmugDNA.29822.1.S1_at,CA4,0.602343766
LZTS2,"similar to leucine zipper, putative tumor suppressor 1",XM_001101161,MmugDNA.2207.1.S1_at,LZTS2,0.602102714
LOC701685,similar to CG11670-PA,XM_001093362,MmugDNA.13438.1.S1_at,,0.60195847
LOC697760,hypothetical protein LOC697760,XM_001085869,MmugDNA.26725.1.S1_at,FLJ37659,0.601756579
TPM1,tropomyosin 1 (alpha),XM_001103221,MmugDNA.1821.1.S1_at,TPM1,0.601628931
MmugDNA.25367.1.S1_at,gDNA.g5902139  FEA=U133PSR  GEN=TRAD  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206078_at serine threonine kinase with Dbl- and pleckstrin homology domains  REP_ORG=M. mulatta,gDNA,MmugDNA.25367.1.S1_at,TRAD,0.601333177
MmugDNA.36409.1.S1_at,gDNA.g6996003  FEA=U133PSR  GEN=DLX2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 207147_at distal-less homeo box 2  REP_ORG=M. mulatta,gDNA,MmugDNA.36409.1.S1_at,DLX2,0.601048016
MmugDNA.16129.1.S1_at,"gDNA.Hs.279870.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235299_at Transcribed locus, moderately similar to XP_517655.1 similar to KIAA0825 protein [Pan troglodytes]  REP_ORG=M. mulatta",gDNA.Hs.279870.0,MmugDNA.16129.1.S1_at,,0.601012483
PSRC1,proline/serine-rich coiled-coil 1,XM_001089702,MmugDNA.10040.1.S1_at,PSRC1,0.600937474
LOC704242,"cytochrome P450, family 39, subfamily A, polypeptide 1",XM_001102611,MmugDNA.20986.1.S1_s_at,CYP39A1,0.600080138
LOC713579,"similar to immunoglobulin superfamily, member 3 isoform 1",XM_001102991,MmugDNA.18528.1.S1_at,IGSF3,0.599935322
FLRT2,fibronectin leucine rich transmembrane protein 2,XM_001106330,MmuSTS.2723.1.S1_at,FLRT2,0.599883538
LOC717181,similar to Protein C20orf46,XM_001108459,MmugDNA.9079.1.S1_at,C20orf46,0.599553101
KDM1B,lysine (K)-specific demethylase 1B,XM_001097626,MmugDNA.11555.1.S1_at,KDM1B,0.599549268
THBS1,thrombospondin 1,XM_001093770,MmuSTS.4004.1.S1_at,THBS1,0.599446339
TMOD1,tropomodulin 1,XM_001114155,MmugDNA.5830.1.S1_at,TMOD1,0.599315452
CCDC89,similar to tumor suppressor candidate 1,XM_001106111,MmugDNA.5486.1.S1_at,CCDC89,0.598466446
LOC693342,similar to nuclear receptor coactivator 1 isoform 1,XM_001082056,MmugDNA.21858.1.S1_s_at,NCOA1,0.597791787
PDGFD,platelet derived growth factor D,XM_001099412,MmugDNA.36545.1.S1_at,PDGFD,0.597603371
MmugDNA.6402.1.S1_at,gDNA.g4757935  FEA=U133PSR  GEN=CCNG2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 202770_s_at cyclin G2  REP_ORG=M. mulatta,gDNA,MmugDNA.6402.1.S1_at,CCNG2,0.597505024
LOC719997,hypothetical protein LOC719997,XR_014332,MmugDNA.39475.1.S1_at,,0.597241933
LOC717549,similar to class I cytokine receptor,XM_001111176,MmugDNA.17885.1.S1_at,IL27RA,0.597056987
LOC716286,"similar to CCR4-NOT transcription complex, subunit 6",XR_013387,MmugDNA.21546.1.S1_at,CNOT6,0.597004154
LOC710906,"gDNA.Hs2.91389.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1558105_a_at Homo sapiens, Similar to LOC169932, clone IMAGE:4499203, mRNA  REP_ORG=M. mulatta",gDNA.Hs2.91389.1,MmugDNA.23621.1.S1_at,,0.59694412
LY75,lymphocyte antigen 75,XM_001093913,MmuSTS.1382.1.S1_at,KCND2,0.596649529
PABPC1,"poly(A) binding protein, cytoplasmic 1",XM_001098239,MmugDNA.1902.1.S1_s_at,PABPC1,0.596552608
LOC717249,"similar to solute carrier family 29 (nucleoside transporters), member 4",XM_001108580,MmuSTS.1067.1.S1_at,SLC29A4,0.596429487
LOC721971,similar to Serine/threonine-protein kinase PAK 4 (p21-activated kinase 4) (PAK-4),XM_001118172,MmuSTS.1999.1.S1_at,PAK4,0.59631588
CDH13,cadherin 13,XM_001110233,MmuSTS.1984.1.S1_at,CDH13,0.595965691
C3H7orf60,chromosome 7 open reading frame 60 ortholog,XM_001093088,MmugDNA.37164.1.S1_at,C3H7orf60,0.595890534
ABHD12B,abhydrolase domain containing 12B,XM_001102161,MmugDNA.25771.1.S1_at,ABHD12B,0.595503396
LOC714407,similar to early growth response 4,XM_001104148,MmuSTS.895.1.S1_at,EGR4,0.595423551
JPH4,junctophilin 4,XM_001109282,MmugDNA.326.1.S1_at,JPH4,0.595412832
LOC706437,hypothetical protein LOC706437,XR_011572,MmugDNA.15704.1.S1_at,JARID1B,0.595125055
LOC700219,similar to C17G10.1,XR_011077,MmugDNA.37180.1.S1_at,,0.594877797
MmugDNA.19385.1.S1_at,gDNA.g7657594  FEA=U133PSR  GEN=SMP1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 217766_s_at small membrane protein 1  REP_ORG=M. mulatta,gDNA,MmugDNA.19385.1.S1_at,SMP1,0.594729534
MmugDNA.24900.1.S1_at,gDNA.Hs.193164.0.A1  FEA=U133PSR  GEN=SYNPO  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235128_at synaptopodin  REP_ORG=M. mulatta,gDNA.Hs.193164.0,MmugDNA.24900.1.S1_at,SYNPO,0.594461658
LOC699793,similar to cyclin G2,XR_010642,MmugDNA.38294.1.S1_at,CCNG2,0.594111715
ITGA6,"integrin, alpha 6",XM_001086200,MmugDNA.9867.1.S1_at,ITGA6,0.593802094
LOC698668,hypothetical protein LOC698668,XR_010488,MmuSTS.745.1.S1_at,KAL1,0.593686583
MmugDNA.13289.1.S1_at,"gDNA.Hs.30172.0.S1  FEA=U133PSR  GEN=ZNFN1A4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226761_at zinc finger protein, subfamily 1A, 4 (Eos)  REP_ORG=M. mulatta",gDNA.Hs.30172.0,MmugDNA.13289.1.S1_at,ZNFN1A4,0.592717482
LOC710987,similar to mucolipin 3,XM_001108095,MmugDNA.8258.1.S1_at,MCOLN3,0.592716262
HUWE1,"HECT, UBA and WWE domain containing 1",XM_001088879,MmugDNA.40049.1.S1_at,HUWE1,0.592677928
MmugDNA.6526.1.S1_at,"gDNA.Hs.64859.0.A1  FEA=U133PSR  GEN=ADAMTS15  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229004_at A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 15  REP_ORG=M. mulatta",gDNA.Hs.64859.0,MmugDNA.6526.1.S1_at,ADAMTS15,0.592490502
MmugDNA.8817.1.S1_at,gDNA.g7662199  FEA=U133PSR  GEN=ECE2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206728_at endothelin converting enzyme 2  REP_ORG=M. mulatta,gDNA,MmugDNA.8817.1.S1_at,ECE2,0.59221433
MmugDNA.17759.1.S1_at,gDNA.Hs.59229.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239727_at LOC440202  REP_ORG=M. mulatta,gDNA.Hs.59229.0,MmugDNA.17759.1.S1_at,,0.592149094
UBASH3B,"ubiquitin associated and SH3 domain containing, B",XM_001107573,MmugDNA.40429.1.S1_at,UBASH3B,0.591596444
CDH22,similar to cadherin 22 precursor,XM_001104171,MmuSTS.1285.1.S1_at,DDN,0.591425572
PREX1,PREX1 protein,XR_012970,MmugDNA.15782.1.S1_at,PREX1,0.591269232
LOC695815,Similar to ribosomal protein L22 like 1,CO581002,Mmu.211.1.S1_at,,0.590402677
LOC712674,similar to phosphodiesterase 8B isoform 1,XM_001101740,MmugDNA.16254.1.S1_at,PDE8B,0.589190681
LOC701263,similar to CG31803-PA,XM_001089585,MmugDNA.25223.1.S1_at,C6orf206,0.588993
FOXJ3,forkhead box J3,XM_001085670,MmuSTS.3736.1.S1_at,FOXJ3,0.588852391
LOC703050,similar to 60S ribosomal protein L22 (Heparin-binding protein HBp15),XM_001091699,Mmu.8971.1.S1_at,RPL22,0.588739402
LOC701270,"gDNA.g8400727  FEA=U133PSR  GEN=RBP4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 219140_s_at retinol binding protein 4, plasma  REP_ORG=M. mulatta",DR773726,MmugDNA.27239.1.S1_s_at,RBP4,0.588622934
LOC701270,"similar to retinol-binding protein 4, plasma precursor",XM_001089592,MmugDNA.27239.1.S1_at,RBP4,0.588415411
DLX1,distal-less homeobox 1,XM_001085685,MmugDNA.16108.1.S1_at,DLX1,0.587021402
MmugDNA.40974.1.S1_at,gDNA.Hs.161354.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241310_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.161354.0,MmugDNA.40974.1.S1_at,,0.586433495
KCNN2,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2",XM_001084002,MmuSTS.299.1.S1_at,KCNN2,0.586414587
LOC693691,hypothetical protein LOC693691,XM_001082146,MmugDNA.41172.1.S1_at,LOC693691,0.586351338
CHRM3,"cholinergic receptor, muscarinic 3",XM_001096165,MmugDNA.35530.1.S1_at,CHRM3,0.586217322
MmugDNA.7915.1.S1_at,gDNA.Hs.23729.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213832_at Clone 24405 mRNA sequence  REP_ORG=M. mulatta,CK231337,MmugDNA.7915.1.S1_at,,0.586203414
MmugDNA.8107.1.S1_at,"gDNA.Hs.125293.0.A1  FEA=U133PSR  GEN=RASGEF1A  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230563_at RasGEF domain family, member 1A  REP_ORG=M. mulatta",gDNA.Hs.125293.0,MmugDNA.8107.1.S1_at,RASGEF1A,0.586066495
MmugDNA.37547.1.S1_at,gDNA.Hs.167135.0.S1  FEA=U133PSR  GEN=C14orf132  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231859_at chromosome 14 open reading frame 132  REP_ORG=M. mulatta,gDNA.Hs.167135.0,MmugDNA.37547.1.S1_at,C14orf132,0.585515225
LOC721654,similar to peroxidasin,XR_014639,MmugDNA.27342.1.S1_at,D2S448,0.584866619
PAK7,p21 protein (Cdc42/Rac)-activated kinase 7,XM_001113709,MmuSTS.2002.1.S1_at,PAK7,0.584724489
MmuSTS.4255.1.S1_at,"gi:60543249  DEF=RASA3_9273 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA9273, sequence tagged site  REP_ORG=M. mulatta",60543249,MmuSTS.4255.1.S1_at,RASA3,0.584648964
SCGN,"secretagogin, EF-hand calcium binding protein",XM_001082266,MmuSTS.4278.1.S1_at,SCGN,0.584607267
LOC705045,"similar to mal, T-cell differentiation protein 2",XM_001093414,MmuSTS.1454.1.S1_at,MAL2,0.583757512
LOC696006,similar to transcriptional regulating factor 1 isoform 1,XR_010513,MmugDNA.2538.1.S1_at,TRERF1,0.583650195
MmuSTS.1880.1.S1_at,"gi:49533133  DEF=COL4A2_2599 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA2599, sequence tagged site.  GEN=COL4A2  PROD=collagen, type IV, alpha 2  REP_ORG=M. mulatta",CB549988,MmuSTS.1880.1.S1_at,COL4A2,0.583638534
LOC709465,similar to prospero-related homeobox 1,XM_001106666,MmuSTS.3409.1.S1_at,,0.582673926
LOC715029,similar to golgi phosphoprotein 2,XM_001105085,MmuSTS.4839.1.S1_at,GOLPH2,0.582223144
LOC705840,similar to mitochondrial ribosomal protein S5,XR_012390,MmugDNA.31253.1.S1_at,,0.581732367
PNMA3,similar to paraneoplastic antigen MA3,XM_001082427,MmunewRS.100.1.S1_at,PNMA3,0.581677856
TMEM2,transmembrane protein 2,XM_001091678,MmugDNA.70.1.S1_at,TMEM2,0.581653388
LOC712795,similar to cut-like 2,XR_012694,MmuSTS.2263.1.S1_at,CUTL2,0.581516692
CUGBP1,"CUG triplet repeat, RNA binding protein 1",XM_001106106,MmugDNA.30224.1.S1_at,CUGBP1,0.581263775
PRR15,proline rich 15,XM_001087339,MmugDNA.15181.1.S1_at,PRR15,0.580761496
MmugDNA.9984.1.S1_at,"gDNA.Hs2.407088.1.S1  FEA=U133PSR  GEN=DLGAP3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1559630_at Discs, large (Drosophila) homolog-associated protein 3  REP_ORG=M. mulatta",gDNA.Hs2.407088.1,MmugDNA.9984.1.S1_at,DLGAP3,0.580649068
LOC716568,similar to Tumor protein D53 (hD53) (Tumor protein D52-like 1),XM_001107364,MmugDNA.6539.1.S1_at,TPD52L1,0.580384648
LOC712321,similar to myeloblastosis proto-oncogene product isoform 2,XM_001101267,MmuSTS.1928.1.S1_at,MYB,0.580372558
LOC715670,hypothetical protein LOC715670,XM_001113497,MmugDNA.33893.1.S1_at,MGC27121,0.579061768
TGFB2,"transforming growth factor, beta 2",XM_001103999,MmuSTS.3996.1.S1_s_at,TGFB2,0.578236898
MmugDNA.3581.1.S1_at,gDNA.Hs.65746.0.S1  FEA=U133PSR  GEN=KIAA0318  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214811_at RIM binding protein 2  REP_ORG=M. mulatta,gDNA.Hs.65746.0,MmugDNA.3581.1.S1_at,KIAA0318,0.578234999
TYRO3,TYRO3 protein tyrosine kinase,XM_001099590,MmuSTS.1670.1.S1_at,TYRO3,0.577869631
IL1RAPL1,interleukin 1 receptor accessory protein-like 1,XM_001094959,MmuSTS.655.1.S1_at,IL1RAPL1,0.577447081
MmugDNA.23406.1.S1_at,gDNA.Hs.212715.0.A1  FEA=U133PSR  GEN=SH3RF2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243582_at SH3 domain containing ring finger 2  REP_ORG=M. mulatta,gDNA.Hs.212715.0,MmugDNA.23406.1.S1_at,SH3RF2,0.57741609
RNF169,ring finger protein 169,XM_001082831,MmugDNA.34433.1.S1_at,RNF169,0.577043897
MmuSTS.574.1.S1_at,"gi:52626888  DEF=CCDC6_4525 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA4525, sequence tagged site.  GEN=CCDC6  PROD=coiled-coil domain containing 6  REP_ORG=M. mulatta",DV769182,MmuSTS.574.1.S1_at,CCDC6,0.577008446
CSNK1G1,"casein kinase 1, gamma 1",XM_001107038,MmugDNA.13633.1.S1_at,CSNK1G1,0.576872257
HOPX,HOP homeobox,XM_001084303,MmugDNA.13933.1.S1_at,HOPX,0.576511764
LOC703539,hypothetical protein LOC703539,XM_001099922,MmugDNA.3722.1.S1_at,C9orf91,0.57600567
LOC708458,similar to Rho GTPase activating protein 10,XM_001096942,MmugDNA.11622.1.S1_at,ARHGAP10,0.575875444
CCBE1,collagen and calcium binding EGF domains 1,XM_001090495,MmugDNA.307.1.S1_at,CCBE1,0.57582972
MmunewRS.263.1.S1_at,"newRS.gi:38045887  NOTE=Orthologous to Human RefSeq terminal exon  DEF=Orthologous to gi:38045887 Homo sapiens CUB and Sushi multiple domains 3 (CSMD3), transcript variant a, mRNA.   GEN=CSMD3  PROD=CUB and Sushi multiple domains 3 isoform 1  REP_ORG=M. mulatta",38045887,MmunewRS.263.1.S1_at,CSMD3,0.575822249
STUB1,STIP1 homology and U-box containing protein 1,XM_001086262,MmugDNA.9374.1.S1_s_at,C6orf141,0.575003629
LOC711350,similar to Ras protein-specific guanine nucleotide-releasing factor 2,XR_013846,MmuSTS.1297.1.S1_at,RASGRF2,0.574861699
MmugDNA.34401.1.S1_at,gDNA.Hs.106932.0.A1  FEA=U133PSR  GEN=TCF4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228837_at Transcription factor 4  REP_ORG=M. mulatta,gDNA.Hs.106932.0,MmugDNA.34401.1.S1_at,TCF4,0.57478643
GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",XM_001109005,MmuSTS.4813.1.S1_at,GABRB3,0.574090791
Mmu.4722.1.S1_at,gb:CN647718  DB_XREF=gi:47161161  DB_XREF=ILLUMIGEN_MCQ_28986  CLONE=IBIUW:7310  TID=Mmu.4722.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN647718,Mmu.4722.1.S1_at,,0.573907337
PNCK,pregnancy up-regulated non-ubiquitously expressed CaM kinase,XM_001084217,MmugDNA.20702.1.S1_at,PNCK,0.57365644
MmugDNA.40286.1.S1_at,gDNA.Hs.42151.0.A1  FEA=U133PSR  GEN=HNMT  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228772_at Histamine N-methyltransferase  REP_ORG=M. mulatta,gDNA.Hs.42151.0,MmugDNA.40286.1.S1_at,HNMT,0.57361355
HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),XM_001087351,MmugDNA.13705.1.S1_at,HPGD,0.573604733
MmugDNA.3096.1.S1_at,gDNA.Hs.4267.0.A1  FEA=U133PSR  GEN=LOC284244  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214162_at hypothetical protein LOC284244  REP_ORG=M. mulatta,gDNA.Hs.4267.0,MmugDNA.3096.1.S1_at,LOC284244,0.573531805
SK3,small-conductance calcium-activated potassium channel,XM_001112021,MmuSTS.1412.1.S1_at,KCNN3,0.573321826
LOC706598,"similar to KH domain containing, RNA binding, signal transduction associated 1",XR_012572,MmuSTS.1426.1.S1_at,KHDRBS1,0.573267584
CHST9,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,XM_001097609,MmugDNA.8441.1.S1_s_at,CHST9,0.573208238
RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5",XM_001088246,MmugDNA.20448.1.S1_at,RPS6KA5,0.573149088
PTPRF,"protein tyrosine phosphatase, receptor type, F",XM_001095521,MmuSTS.3738.1.S1_at,PTPRF,0.573110307
LOC710731,similar to palmdelphin,XM_001105606,MmugDNA.28666.1.S1_at,PALMD,0.573020128
GTF2IRD1,GTF2I repeat domain containing 1,XM_001082778,MmugDNA.34608.1.S1_at,GTF2IRD1,0.572889379
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",XM_001093762,MmugDNA.29878.1.S1_at,ACAP2,0.572622796
MmugDNA.24865.1.S1_at,gDNA.g4758099  FEA=U133PSR  GEN=CXorf1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206711_at chromosome X open reading frame 1  REP_ORG=M. mulatta,gDNA,MmugDNA.24865.1.S1_at,CXorf1,0.572489606
SMAD9,SMAD family member 9,XM_001084515,MmuSTS.4569.1.S1_at,MADH9,0.572347714
LOC704185,hypothetical protein LOC704185,XR_011247,MmugDNA.11060.1.S1_at,MGC39325,0.572301129
MmugDNA.19771.1.S1_at,"gDNA.Hs.140942.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242488_at CDNA FLJ38396 fis, clone FEBRA2007957  REP_ORG=M. mulatta",gDNA.Hs.140942.0,MmugDNA.19771.1.S1_at,,0.57159995
LILRAC,"leukocyte immunoglobulin-like receptor, subfamily A, member c",DQ155429,MmugDNA.17255.1.S1_at,,0.571389023
RGS8,regulator of G-protein signaling 8,XM_001114540,MmuSTS.3129.1.S1_at,RGS16,0.571355315
HAMP,hepcidin antimicrobial peptide,XM_001094393,MmugDNA.18647.1.S1_s_at,HAMP,0.57106644
LOC702485,hypothetical protein LOC702485,XM_001098413,MmugDNA.25680.1.S1_at,MGC21688,0.570919382
MYO9A,myosin IXA,XM_001089813,MmugDNA.10401.1.S1_at,MYO9A,0.570826525
LOC714256,similar to copine III,XM_001103904,MmugDNA.20726.1.S1_at,CPNE6,0.570259559
LOC694193,similar to cerebellin 2 precursor,XM_001082250,MmugDNA.28485.1.S1_at,CBLN2,0.569878972
LOC715965,similar to actin-related protein 3-beta isoform 1,XM_001105571,MmugDNA.27419.1.S1_at,ARP3BETA,0.569739471
MmugDNA.36808.1.S1_at,"gDNA.Hs.7138.0.S2  FEA=U133PSR  GEN=CHRM3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214596_at Cholinergic receptor, muscarinic 3  REP_ORG=M. mulatta",gDNA.Hs.7138.0,MmugDNA.36808.1.S1_at,CHRM3,0.569482556
MmugDNA.3609.1.S1_at,"gDNA.Hs.22978.0.A1  FEA=U133PSR  GEN=ATP5S  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237400_at ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)  REP_ORG=M. mulatta",gDNA.Hs.22978.0,MmugDNA.3609.1.S1_at,ATP5S,0.569164875
MmugDNA.4526.1.S1_at,"gDNA.Hs.3731.0.S1  FEA=U133PSR  GEN=NEDD4L  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226974_at Neural precursor cell expressed, developmentally down-regulated 4-like  REP_ORG=M. mulatta",gDNA.Hs.3731.0,MmugDNA.4526.1.S1_at,NEDD4L,0.568826933
FGF13,fibroblast growth factor 13,XM_001084095,MmuSTS.4776.1.S1_at,FGF13,0.568469686
ASXL3,additional sex combs like 3 (Drosophila),XM_001101400,MmugDNA.42815.1.S1_at,ASXL3,0.568141481
CHRM3,"cholinergic receptor, muscarinic 3",XM_001096524,MmuSTS.186.1.S1_at,CHRM3,0.567653937
KIFC3,kinesin family member C3,XM_001100393,MmuSTS.2791.1.S1_at,KIFC3,0.567566636
WASF1,"WAS protein family, member 1",XM_001087511,MmuSTS.387.1.S1_at,WASF1,0.567501267
CSNK1G1,"casein kinase 1, gamma 1",XM_001107164,MmugDNA.37189.1.S1_at,CSNK1G1,0.566239907
TGFBR3,"transforming growth factor, beta receptor III",XM_001098281,MmugDNA.7149.1.S1_x_at,TGFBR3,0.566198495
LOC699021,similar to 5-hydroxytryptamine receptor 7 isoform a,XR_010536,MmugDNA.24999.1.S1_at,,0.566177858
PALLD,"palladin, cytoskeletal associated protein",XM_001082273,MmugDNA.15310.1.S1_at,PALLD,0.566125843
LOC714394,similar to testis-specific gene A2,XM_001105425,MmugDNA.26158.1.S1_at,TSGA2,0.565905375
LOC708998,similar to latrophilin 2 precursor,XR_013086,MmugDNA.15285.1.S1_at,LPHN2,0.565497253
ERO1L,ERO1-like,XM_001103883,MmugDNA.25455.1.S1_at,ERO1L,0.564138521
LOC693342,similar to nuclear receptor coactivator 1 isoform 1,XM_001082056,MmugDNA.40569.1.S1_at,NCOA1,0.564114101
AKR1C1,"aldo-keto reductase family 1, member C1",XM_001103624,MmugDNA.36491.1.S1_s_at,AKR1C2,0.564084913
NOV,nephroblastoma overexpressed gene,XM_001097136,MmuSTS.3147.1.S1_at,NOV,0.564069392
BTG3,"BTG family, member 3",XM_001106583,MmuSTS.3246.1.S1_at,BTG3,0.563350114
MmugDNA.9608.1.S1_at,"gDNA.Hs.163853.0.A1  FEA=U133PSR  GEN=RFX3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243868_at Regulatory factor X, 3 (influences HLA class II expression)  REP_ORG=M. mulatta",gDNA.Hs.163853.0,MmugDNA.9608.1.S1_at,RFX3,0.563042273
LOC693537,similar to histone deacetylase 11,XM_001082635,MmugDNA.10999.1.S1_at,,0.562925539
LOC706873,similar to Tob1 protein (Transducer of erbB-2 1),XM_001095282,MmugDNA.37858.1.S1_at,JPH1,0.562836543
THBD,thrombomodulin,XM_001095416,MmugDNA.34290.1.S1_at,THBD,0.56283325
LOC705675,hypothetical protein LOC705675,XM_001095542,MmugDNA.43349.1.S1_at,,0.562138936
SUSD4,sushi domain containing 4,XM_001099184,MmugDNA.3554.1.S1_at,SUSD4,0.561878577
LOC710046,similar to serotonin 5-HT4 receptor isoform b,XM_001105153,MmugDNA.28380.1.S1_at,HTR4,0.561617803
LOC713324,similar to erythrocyte membrane protein band 4.1 like 4B isoform 2,XM_001102639,MmugDNA.20070.1.S1_at,EPB41L4B,0.560122553
LOC705699,"similar to glutamate receptor, ionotropic, kainate 1 isoform 2 precursor",XM_001100589,MmugDNA.16287.1.S1_at,GRIK1,0.559934474
MmugDNA.38441.1.S1_at,"gDNA.Hs.22247.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227235_at Homo sapiens, clone IMAGE:5302158, mRNA  REP_ORG=M. mulatta",gDNA.Hs.22247.0,MmugDNA.38441.1.S1_at,,0.55979133
MmuSTS.4231.1.S1_at,"gi:51853739  DEF=DLGAP2_3498 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA3498, sequence tagged site.  GEN=DLGAP2  PROD=discs, large (Drosophila) homolog-associated protein 2  REP_ORG=M. mulatta",51853739,MmuSTS.4231.1.S1_at,DLGAP2,0.55968631
DKK4,dickkopf homolog 4 (Xenopus laevis),XM_001097758,MmugDNA.5002.1.S1_at,HS6ST3,0.559170459
SERPINE2,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",XM_001108884,MmuSTS.4328.1.S1_at,,0.559143012
MmuSTS.2606.1.S1_at,"gi:60301218  DEF=ENC1_8821 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA8821, sequence tagged site  REP_ORG=M. mulatta",60301218,MmuSTS.2606.1.S1_at,ENC1,0.559065012
LAMB1,"laminin, beta 1",XM_001090393,MmugDNA.527.1.S1_at,LAMB1,0.55896347
MmugDNA.8872.1.S1_at,gDNA.g9257196  FEA=U133PSR  GEN=BAIAP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 205294_at BAI1-associated protein 2  REP_ORG=M. mulatta,gDNA,MmugDNA.8872.1.S1_at,BAIAP2,0.558892443
MmugDNA.43165.1.S1_at,gDNA.Hs.283851.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227318_at MRNA; cDNA DKFZp547G036 (from clone DKFZp547G036)  REP_ORG=M. mulatta,gDNA.Hs.283851.0,MmugDNA.43165.1.S1_at,,0.558538826
LOC705161,similar to matrilin 2 isoform a precursor,XR_011399,MmuSTS.118.1.S1_at,MATN2,0.558359633
